power_of_shot,game_season,is_goal,area_of_shot,shot_basics,combined_shot,distance_of_shot,location,knockout_match,remaining_total,latitude,longitude
4.0,2009-10,0.0,4,Mid Range,shot - 3,33.0,131.47243057006287,0.0,30.0,42.982923,-71.446094
1.0,2000-01,,4,Mid Range,shot - 34,37.0,179.8471573308847,0.0,686.0,49.250068,-123.114646
1.0,2000-01,,4,Mid Range,shot - 3,40.0,206.24257562394826,0.0,658.0,49.250068,-123.114646
1.0,2000-01,,0,Goal Area,shot - 39,21.0,19.02629759044045,0.0,453.0,49.250068,-123.114646
1.0,2000-01,,0,Goal Area,shot - 39,21.0,12.460103370965935,0.0,358.0,49.250068,-123.114646
1.0,2000-01,,0,Goal Area,shot - 4,20.0,4.123105625617661,0.0,249.0,49.250068,-123.114646
2.0,2009-10,,4,Mid Range,shot - 1,36.0,164.75739740600417,0.0,333.0,49.250068,-123.114646
2.0,2000-01,1.0,4,Mid Range,shot - 3,40.0,205.27298896834918,0.0,210.0,49.250068,-123.114646
2.0,2000-01,1.0,5,Penalty Spot,shot - 3,47.0,273.33678859604686,0.0,4.0,49.250068,-123.114646
3.0,2000-01,0.0,4,Mid Range,shot - 3,38.0,187.9680823969857,0.0,672.0,49.250068,-123.114646
3.0,2000-01,1.0,0,Goal Area,shot - 39,20.0,8.06225774829855,0.0,613.0,49.250068,-123.114646
3.0,2000-01,1.0,4,Mid Range,shot - 3,40.0,200.47194317410103,0.0,539.0,49.250068,-123.114646
3.0,2009-10,0.0,1,Goal Line,shot - 3,25.0,51.24451190127583,0.0,509.0,49.250068,-123.114646
3.0,2000-01,,0,Goal Area,shot - 39,22.0,22.47220505424423,0.0,269.0,49.250068,-123.114646
3.0,2000-01,1.0,0,Goal Area,shot - 39,20.0,5.656854249492381,0.0,201.0,49.250068,-123.114646
3.0,2009-10,0.0,0,Goal Area,shot - 1,,,0.0,175.0,49.250068,-123.114646
3.0,2000-01,1.0,0,Goal Area,shot - 12,20.0,9.055385138137416,0.0,158.0,49.250068,-123.114646
4.0,2000-01,1.0,4,Mid Range,shot - 3,37.0,170.41420128616042,0.0,295.0,49.250068,-123.114646
4.0,2000-01,,4,Mid Range,shot - 3,37.0,178.53851125177448,0.0,199.0,49.250068,-123.114646
4.0,2000-01,0.0,0,Goal Area,shot - 39,20.0,9.055385138137416,0.0,68.0,49.250068,-123.114646
4.0,2000-01,0.0,0,Goal Area,shot - 39,21.0,15.0,0.0,66.0,49.250068,-123.114646
1.0,2000-01,0.0,1,Goal Line,shot - 25,27.0,74.0,0.0,633.0,42.982923,-71.446094
1.0,2009-10,0.0,4,Mid Range,shot - 3,38.0,189.04232330353963,0.0,604.0,42.982923,-71.446094
1.0,2000-01,,5,Penalty Spot,shot - 3,48.0,284.41167345944154,0.0,298.0,42.982923,-71.446094
1.0,2000-01,0.0,5,Penalty Spot,shot - 3,44.0,248.31633051412467,0.0,153.0,42.982923,-71.446094
2.0,2000-01,1.0,4,Mid Range,shot - 37,42.0,228.00219297190984,0.0,686.0,42.982923,-71.446094
2.0,2009-10,1.0,0,Goal Area,shot - 4,20.0,0.0,0.0,520.0,42.982923,-71.446094
2.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,245.0,42.982923,-71.446094
2.0,2009-10,,5,Penalty Spot,shot - 14,48.0,286.0082828572958,0.0,190.0,42.982923,-71.446094
2.0,2000-01,0.0,1,Goal Line,shot - 36,31.0,112.92918134831228,0.0,122.0,42.982923,-71.446094
2.0,2000-01,,1,Goal Line,shot - 39,25.0,53.71219600798314,0.0,47.0,42.982923,-71.446094
3.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,2.3286893159166806,0.0,572.0,42.982923,-71.446094
3.0,2000-01,0.0,1,Goal Line,shot - 4,25.0,52.98575959116297,0.0,37.0,42.982923,-71.446094
3.0,2000-01,1.0,4,Mid Range,shot - 44,32.0,123.7618681177688,0.0,1.0,42.982923,-71.446094
4.0,2000-01,,1,Goal Line,shot - 3,29.0,91.5478017212866,0.0,613.0,42.982923,-71.446094
1.0,2000-01,,4,Mid Range,shot - 3,32.0,124.32618388738553,0.0,546.0,29.740325,-95.365762
1.0,2000-01,0.0,6,Right Corner,shot - 21,43.0,237.92856070678025,0.0,497.0,29.740325,-95.365762
1.0,2000-01,1.0,0,Goal Area,shot - 4,20.0,0.0,0.0,473.0,29.740325,-95.365762
1.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,2.3286893159166806,0.0,421.0,29.740325,-95.365762
1.0,2000-01,,4,Mid Range,shot - 9,39.0,193.34166648707668,0.0,315.0,29.740325,-95.365762
1.0,2000-01,,5,Penalty Spot,shot - 3,45.0,257.0953130650188,0.0,191.0,29.740325,-95.365762
2.0,2000-01,1.0,0,Goal Area,shot - 4,20.0,2.3286893159166806,0.0,476.0,29.740325,-95.365762
2.0,2000-01,0.0,4,Mid Range,shot - 0,27.0,76.48529270389176,0.0,160.0,29.740325,-95.365762
2.0,2000-01,0.0,5,Penalty Spot,shot - 1,45.0,252.96047122030743,0.0,10.0,29.740325,-95.365762
3.0,2000-01,,4,Mid Range,shot - 36,42.0,224.18965185752887,0.0,662.0,29.740325,-95.365762
3.0,2000-01,0.0,1,Goal Line,shot - 1,25.39621719012031,59.20304046246274,0.0,550.0,29.740325,-95.365762
3.0,2000-01,0.0,4,Mid Range,shot - 36,33.0,138.40520221436765,0.0,444.0,29.740325,-95.365762
3.0,2000-01,0.0,1,Goal Line,shot - 2,28.0,82.49242389456137,0.0,1.0,29.740325,-95.365762
4.0,2000-01,,1,Goal Line,shot - 22,27.0,74.65252842335615,0.0,709.0,29.740325,-95.365762
4.0,2000-01,1.0,1,Goal Line,shot - 20,33.0,136.34148304899722,0.0,301.0,29.740325,-95.365762
4.0,2000-01,0.0,4,Mid Range,shot - 3,35.0,156.00320509528,0.0,46.0,29.740325,-95.365762
1.0,2000-01,0.0,5,Penalty Spot,shot - 15,44.0,248.8875247978492,0.0,701.0,29.444994,-98.52412
1.0,2000-01,0.0,0,Goal Area,shot - 12,20.0,8.94427190999916,0.0,659.0,29.444994,-98.52412
1.0,2000-01,,1,Goal Line,shot - 3,27.0,75.76938695805845,0.0,588.0,29.444994,-98.52412
1.0,2000-01,,4,Mid Range,shot - 3,33.0,133.33041663476493,0.0,446.0,29.444994,-98.52412
1.0,2000-01,,4,Mid Range,shot - 10,38.0,183.1747799234381,0.0,396.0,29.444994,-98.52412
1.0,2000-01,1.0,4,Mid Range,shot - 10,39.0,190.22355269524326,0.0,354.0,29.444994,-98.52412
1.0,2000-01,1.0,4,Mid Range,shot - 3,35.0,159.29846201391902,0.0,144.0,29.444994,-98.52412
1.0,2000-01,1.0,4,Mid Range,shot - 15,34.0,140.0,0.0,108.0,29.444994,-98.52412
1.0,2000-01,1.0,4,Mid Range,shot - 3,35.0,156.00320509528,0.0,85.0,29.444994,-98.52412
1.0,2000-01,,4,Mid Range,shot - 54,35.0,151.0529708413575,0.0,47.0,29.444994,-98.52412
2.0,2000-01,0.0,4,Mid Range,shot - 3,33.0,133.70115930686615,0.0,657.0,29.444994,-98.52412
2.0,2000-01,0.0,4,Mid Range,shot - 49,35.0,158.09174551506476,0.0,577.0,29.444994,-98.52412
2.0,2000-01,,4,Mid Range,shot - 3,33.0,134.03707203155702,0.0,265.0,29.444994,-98.52412
2.0,2000-01,1.0,5,Penalty Spot,shot - 3,45.0,257.61405241174253,0.0,230.0,29.444994,-98.52412
2.0,2009-10,,4,Mid Range,shot - 12,38.0,185.56939402821789,0.0,195.0,29.444994,-98.52412
2.0,2000-01,0.0,5,Penalty Spot,shot - 51,44.0,244.4360857156733,0.0,0.0,29.444994,-98.52412
4.0,2000-01,1.0,4,Mid Range,shot - 3,34.0,140.0,0.0,48.0,29.444994,-98.52412
3.0,2000-01,0.0,1,Goal Line,shot - 3,24.0,42.85434553611371,0.0,686.0,29.444994,-98.52412
3.0,2000-01,0.0,4,Mid Range,shot - 0,35.0,151.90786681406598,0.0,560.0,29.444994,-98.52412
3.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,1.0,0.0,473.0,29.444994,-98.52412
3.0,2000-01,1.0,4,Mid Range,shot - 54,37.0,178.46568297574746,0.0,400.0,29.444994,-98.52412
3.0,2000-01,,4,Mid Range,shot - 52,37.0,170.20575783445162,0.0,256.0,29.444994,-98.52412
3.0,2000-01,0.0,4,Mid Range,shot - 15,32.0,120.5072611920128,0.0,180.0,29.444994,-98.52412
3.0,2000-01,0.0,4,Mid Range,shot - 3,39.0,197.51708786836647,0.0,48.0,29.444994,-98.52412
3.0,2000-01,0.0,4,Mid Range,shot - 3,37.0,174.87424052730012,0.0,21.0,29.444994,-98.52412
4.0,2000-01,0.0,1,Goal Line,shot - 3,31.0,118.45674315968678,0.0,639.0,29.444994,-98.52412
4.0,2000-01,0.0,4,Mid Range,shot - 3,36.0,169.0,0.0,428.0,29.444994,-98.52412
4.0,2000-01,1.0,4,Mid Range,shot - 3,36.0,168.0238078368658,0.0,385.0,29.444994,-98.52412
4.0,2000-01,0.0,1,Goal Line,shot - 3,29.0,95.60334722173694,0.0,314.0,29.444994,-98.52412
4.0,2000-01,0.0,1,Goal Line,shot - 3,27.0,79.17701686727027,0.0,218.0,29.444994,-98.52412
4.0,2000-01,,4,Mid Range,shot - 49,41.0,212.8403157298917,0.0,43.0,29.444994,-98.52412
1.0,2009-10,0.0,4,Mid Range,shot - 17,41.0,210.19038988498025,0.0,669.0,42.982923,-71.446094
1.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,617.0,42.982923,-71.446094
1.0,2000-01,0.0,0,Goal Area,shot - 46,20.0,0.0,0.0,563.0,42.982923,-71.446094
1.0,2000-01,0.0,0,Goal Area,shot - 5,20.0,2.3286893159166806,0.0,561.0,42.982923,-71.446094
1.0,2009-10,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,182.0,42.982923,-71.446094
1.0,2000-01,1.0,0,Goal Area,shot - 4,20.0,2.3286893159166806,0.0,44.0,42.982923,-71.446094
1.0,2000-01,0.0,4,Mid Range,shot - 3,36.0,164.63899902513984,0.0,21.0,42.982923,-71.446094
2.0,2000-01,1.0,4,Mid Range,shot - 36,38.0,184.6941423068033,0.0,530.0,42.982923,-71.446094
2.0,2009-10,,0,Goal Area,shot - 32,20.0,0.0,0.0,498.0,42.982923,-71.446094
2.0,2009-10,,4,Mid Range,shot - 4,36.0,164.43131419670482,0.0,160.0,42.982923,-71.446094
2.0,2009-10,1.0,0,Goal Area,shot - 54,20.0,2.3286893159166806,0.0,30.0,42.982923,-71.446094
2.0,2000-01,1.0,5,Penalty Spot,shot - 3,47.0,276.0018115882575,0.0,4.0,42.982923,-71.446094
3.0,2000-01,,4,Mid Range,shot - 3,36.0,164.43131419670482,0.0,599.0,42.982923,-71.446094
3.0,2000-01,1.0,4,Mid Range,shot - 3,35.0,155.20631430454108,0.0,518.0,42.982923,-71.446094
3.0,2000-01,1.0,4,Mid Range,shot - 3,35.0,155.54420593516173,0.0,318.0,42.982923,-71.446094
3.0,2000-01,0.0,4,Mid Range,shot - 42,35.0,157.30543537970962,0.0,274.0,42.982923,-71.446094
3.0,2000-01,0.0,4,Mid Range,shot - 12,37.0,178.1796845883391,0.0,231.0,42.982923,-71.446094
3.0,2000-01,0.0,1,Goal Line,shot - 21,29.0,90.42676594902642,0.0,220.0,42.982923,-71.446094
3.0,2000-01,1.0,1,Goal Line,shot - 3,31.0,116.36150566231085,0.0,213.0,42.982923,-71.446094
3.0,2000-01,,0,Goal Area,shot - 46,20.0,0.0,0.0,176.0,42.982923,-71.446094
3.0,2000-01,,4,Mid Range,shot - 3,37.0,170.49633427144408,0.0,125.0,42.982923,-71.446094
3.0,2009-10,0.0,4,Mid Range,shot - 3,37.0,178.46568297574746,0.0,14.0,42.982923,-71.446094
4.0,2000-01,0.0,1,Goal Line,shot - 3,24.0,41.0,0.0,652.0,42.982923,-71.446094
4.0,2009-10,0.0,4,Mid Range,shot - 3,31.0,117.38824472663352,0.0,394.0,42.982923,-71.446094
4.0,2000-01,0.0,1,Goal Line,shot - 17,25.0,59.682493245507096,0.0,297.0,42.982923,-71.446094
4.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,208.0,42.982923,-71.446094
4.0,2009-10,1.0,1,Goal Line,shot - 44,25.0,59.682493245507096,0.0,98.0,42.982923,-71.446094
4.0,2000-01,,1,Goal Line,shot - 3,25.0,57.62811813689564,0.0,65.0,42.982923,-71.446094
4.0,2009-10,0.0,0,Goal Area,shot - 5,20.0,0.0,0.0,63.0,42.982923,-71.446094
1.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,463.0,42.982923,-71.446094
1.0,2000-01,,6,Right Corner,shot - 45,43.0,237.25513693068905,0.0,292.0,42.982923,-71.446094
1.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,188.0,42.982923,-71.446094
1.0,2000-01,1.0,4,Mid Range,shot - 3,32.0,129.0620006043607,0.0,145.0,42.982923,-71.446094
1.0,2000-01,1.0,4,Mid Range,shot - 0,33.0,137.88763541376724,0.0,48.0,42.982923,-71.446094
2.0,2000-01,0.0,4,Mid Range,shot - 11,38.0,184.3176605754316,0.0,676.0,42.982923,-71.446094
2.0,2000-01,0.0,5,Penalty Spot,shot - 3,47.0,271.4129694764051,0.0,619.0,42.982923,-71.446094
2.0,2000-01,,0,Goal Area,shot - 4,,,0.0,605.0,42.982923,-71.446094
2.0,2000-01,1.0,4,Mid Range,shot - 3,40.0,201.55644370746373,0.0,547.0,42.982923,-71.446094
2.0,2000-01,,4,Mid Range,shot - 32,36.0,169.14490828872147,0.0,254.0,42.982923,-71.446094
2.0,2000-01,,0,Goal Area,shot - 4,19.770151599444688,0.0,0.0,202.0,42.982923,-71.446094
2.0,2009-10,0.0,0,Goal Area,shot - 39,20.0,0.0,0.0,114.0,42.982923,-71.446094
2.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,28.0,42.982923,-71.446094
2.0,2000-01,,0,Goal Area,shot - 5,20.0,0.0,0.0,26.0,42.982923,-71.446094
3.0,2000-01,0.0,4,Mid Range,shot - 3,40.0,204.4162420161373,0.0,623.0,42.982923,-71.446094
3.0,2000-01,0.0,1,Goal Line,shot - 3,27.0,72.00694410957877,0.0,323.0,42.982923,-71.446094
3.0,2000-01,,0,Goal Area,shot - 24,20.0,0.0,0.0,233.0,42.982923,-71.446094
3.0,2000-01,1.0,0,Goal Area,shot - 32,20.0,0.0,0.0,37.0,42.982923,-71.446094
4.0,2000-01,1.0,5,Penalty Spot,shot - 3,45.0,256.2596339652424,0.0,43.0,42.982923,-71.446094
4.0,2000-01,1.0,0,Goal Area,shot - 4,20.0,0.0,0.0,628.0,42.982923,-71.446094
4.0,2000-01,1.0,0,Goal Area,shot - 12,20.0,0.0,0.0,611.0,42.982923,-71.446094
4.0,2000-01,0.0,0,Goal Area,shot - 39,20.0,0.0,0.0,337.0,42.982923,-71.446094
4.0,2000-01,,0,Goal Area,shot - 56,19.770151599444688,0.0,0.0,332.0,42.982923,-71.446094
1.0,2000-01,1.0,4,Mid Range,shot - 54,41.0,217.34764779035453,0.0,702.0,38.567296,-121.456638
1.0,2000-01,0.0,4,Mid Range,shot - 3,41.0,218.04815981796315,0.0,7.0,38.567296,-121.456638
1.0,2000-01,0.0,4,Mid Range,shot - 3,36.0,164.43131419670482,0.0,533.0,38.567296,-121.456638
1.0,2000-01,0.0,1,Goal Line,shot - 3,27.0,78.7146746166177,0.0,496.0,38.567296,-121.456638
1.0,2000-01,0.0,0,Goal Area,shot - 4,19.770151599444688,0.0,0.0,463.0,38.567296,-121.456638
1.0,2000-01,1.0,1,Goal Line,shot - 12,25.0,55.97320787662612,0.0,167.0,38.567296,-121.456638
1.0,2000-01,,4,Mid Range,shot - 3,40.0,206.24257562394826,0.0,96.0,38.567296,-121.456638
1.0,2009-10,0.0,4,Mid Range,shot - 2,40.0,200.06249023742558,0.0,65.0,38.567296,-121.456638
2.0,2000-01,1.0,4,Mid Range,shot - 11,41.0,211.68372634664195,0.0,493.0,38.567296,-121.456638
2.0,2000-01,1.0,4,Mid Range,shot - 3,36.0,169.01183390520322,0.0,387.0,38.567296,-121.456638
2.0,2000-01,0.0,4,Mid Range,shot - 3,38.0,180.60177186284747,0.0,52.0,38.567296,-121.456638
2.0,2009-10,0.0,4,Mid Range,shot - 3,36.0,163.11039206623224,0.0,19.0,38.567296,-121.456638
2.0,2009-10,0.0,3,Mid Ground Line,shot - 3,67.0,479.3099206150442,0.0,0.0,38.567296,-121.456638
3.0,2000-01,0.0,1,Goal Line,shot - 3,33.0,137.44089638822936,0.0,532.0,38.567296,-121.456638
3.0,2000-01,0.0,4,Mid Range,shot - 36,39.0,199.42417105255825,0.0,175.0,38.567296,-121.456638
3.0,2000-01,0.0,5,Penalty Spot,shot - 3,44.0,245.4826266370989,0.0,1.0,38.567296,-121.456638
4.0,2000-01,,0,Goal Area,shot - 1,20.0,0.0,0.0,704.0,38.567296,-121.456638
4.0,2000-01,0.0,5,Penalty Spot,shot - 3,44.0,247.24481794367298,0.0,558.0,38.567296,-121.456638
4.0,2000-01,0.0,5,Penalty Spot,shot - 3,45.0,252.0099204396525,0.0,343.0,38.567296,-121.456638
4.0,2000-01,1.0,5,Penalty Spot,shot - 24,44.0,248.93774322107123,0.0,2.0,38.567296,-121.456638
5.0,2000-01,1.0,1,Goal Line,shot - 46,29.0,99.50376877284599,0.0,125.0,38.567296,-121.456638
5.0,2000-01,0.0,1,Goal Line,shot - 4,30.0,100.84145972763383,0.0,127.0,38.567296,-121.456638
5.0,2000-01,1.0,4,Mid Range,shot - 11,41.0,212.90608258102915,0.0,24.0,38.567296,-121.456638
1.0,2000-01,1.0,4,Mid Range,shot - 49,39.0,194.82555636185256,0.0,605.0,39.739968,-104.954013
1.0,2000-01,0.0,4,Mid Range,shot - 3,45.0,258.2111539031573,0.0,547.0,39.739968,-104.954013
1.0,2009-10,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,495.0,39.739968,-104.954013
1.0,2000-01,,4,Mid Range,shot - 47,37.0,174.1034175425629,0.0,384.0,39.739968,-104.954013
1.0,2009-10,,0,Goal Area,shot - 4,20.0,0.0,0.0,362.0,39.739968,-104.954013
1.0,2000-01,0.0,4,Mid Range,shot - 3,38.0,187.4913331330277,0.0,262.0,39.739968,-104.954013
1.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,249.0,39.739968,-104.954013
1.0,2000-01,,4,Mid Range,shot - 14,35.0,153.0522786501397,0.0,18.0,39.739968,-104.954013
2.0,2000-01,0.0,1,Goal Line,shot - 3,29.0,93.00537618869137,0.0,679.0,39.739968,-104.954013
2.0,2000-01,1.0,4,Mid Range,shot - 3,39.0,197.0406049523803,0.0,411.0,39.739968,-104.954013
2.0,2000-01,1.0,5,Penalty Spot,shot - 53,45.0,255.50146770615623,0.0,371.0,39.739968,-104.954013
2.0,2000-01,0.0,4,Mid Range,shot - 3,36.0,167.0,0.0,21.0,39.739968,-104.954013
3.0,2000-01,0.0,5,Penalty Spot,shot - 3,49.0,293.71584907866315,0.0,677.0,39.739968,-104.954013
3.0,2000-01,,4,Mid Range,shot - 3,37.0,174.92855684535903,0.0,605.0,39.739968,-104.954013
3.0,2009-10,0.0,4,Mid Range,shot - 3,36.0,167.10774967068403,0.0,515.0,39.739968,-104.954013
3.0,2000-01,1.0,4,Mid Range,shot - 3,35.0,150.05332385522155,0.0,384.0,39.739968,-104.954013
4.0,2000-01,,4,Mid Range,shot - 3,38.0,185.21878954360974,0.0,301.0,39.739968,-104.954013
3.0,2000-01,1.0,6,Right Corner,shot - 5,21.64550679633656,237.76038357977126,0.0,201.0,39.739968,-104.954013
3.0,2000-01,1.0,2,Left Corner,shot - 36,21.64550679633656,229.78685776170929,0.0,47.0,39.739968,-104.954013
4.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,670.0,39.739968,-104.954013
4.0,2000-01,1.0,0,Goal Area,shot - 24,20.0,0.0,0.0,430.0,39.739968,-104.954013
4.0,2000-01,,5,Penalty Spot,shot - 54,46.0,264.8244701684495,0.0,319.0,39.739968,-104.954013
4.0,2000-01,,4,Mid Range,shot - 3,40.0,202.41047403728885,0.0,218.0,39.739968,-104.954013
4.0,2000-01,1.0,1,Goal Line,shot - 3,28.0,89.96110270555825,0.0,78.0,39.739968,-104.954013
4.0,2000-01,0.0,1,Goal Line,shot - 3,29.0,96.60745312862772,0.0,46.0,39.739968,-104.954013
1.0,2000-01,0.0,5,Penalty Spot,shot - 3,44.0,248.58197842965203,0.0,543.0,42.982923,-71.446094
1.0,2009-10,0.0,1,Goal Line,shot - 41,29.0,93.51141581136,0.0,370.0,42.982923,-71.446094
1.0,2009-10,1.0,0,Goal Area,shot - 12,20.0,0.0,0.0,190.0,42.982923,-71.446094
1.0,2000-01,0.0,0,Goal Area,shot - 39,20.0,0.0,0.0,13.0,42.982923,-71.446094
2.0,2000-01,1.0,0,Goal Area,shot - 12,20.0,0.0,0.0,444.0,42.982923,-71.446094
2.0,2000-01,0.0,4,Mid Range,shot - 54,37.0,177.34147850968205,0.0,363.0,42.982923,-71.446094
2.0,2000-01,0.0,4,Mid Range,shot - 3,43.0,232.42202993692314,0.0,44.0,42.982923,-71.446094
3.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,684.0,42.982923,-71.446094
3.0,2000-01,1.0,0,Goal Area,shot - 39,20.0,0.0,0.0,619.0,42.982923,-71.446094
3.0,2009-10,0.0,4,Mid Range,shot - 3,38.0,181.13530854032848,0.0,585.0,42.982923,-71.446094
3.0,2000-01,1.0,4,Mid Range,shot - 45,40.0,200.1124683771604,0.0,442.0,42.982923,-71.446094
3.0,2000-01,0.0,1,Goal Line,shot - 40,32.0,128.5496013218244,0.0,403.0,42.982923,-71.446094
3.0,2000-01,1.0,1,Goal Line,shot - 44,31.0,114.0570032922135,0.0,295.0,42.982923,-71.446094
3.0,2009-10,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,94.0,42.982923,-71.446094
3.0,2009-10,,0,Goal Area,shot - 1,20.0,0.0,0.0,4.0,42.982923,-71.446094
4.0,2009-10,0.0,5,Penalty Spot,shot - 3,47.0,270.64737205448716,0.0,673.0,42.982923,-71.446094
4.0,2000-01,0.0,4,Mid Range,shot - 37,37.931486137766,226.45087767549057,0.0,652.0,42.982923,-71.446094
4.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,612.0,42.982923,-71.446094
4.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,608.0,42.982923,-71.446094
4.0,2000-01,1.0,1,Goal Line,shot - 3,28.0,80.00624975587844,0.0,140.0,42.982923,-71.446094
4.0,2009-10,0.0,4,Mid Range,shot - 11,38.0,180.8009955724802,0.0,97.0,42.982923,-71.446094
4.0,2000-01,0.0,4,Mid Range,shot - 45,41.0,210.0119044244873,0.0,31.0,42.982923,-71.446094
1.0,2000-01,1.0,4,Mid Range,shot - 19,38.0,181.463494951464,0.0,605.0,42.982923,-71.446094
1.0,2009-10,0.0,4,Mid Range,shot - 3,38.0,181.463494951464,0.0,480.0,42.982923,-71.446094
1.0,2009-10,0.0,5,Penalty Spot,shot - 3,45.0,255.61404069214808,0.0,298.0,42.982923,-71.446094
1.0,2000-01,1.0,0,Goal Area,shot - 4,20.0,2.3286893159166806,0.0,156.0,42.982923,-71.446094
1.0,2000-01,0.0,0,Goal Area,shot - 4,20.0,0.0,0.0,140.0,42.982923,-71.446094
1.0,2000-01,1.0,0,Goal Area,shot - 12,20.0,0.0,0.0,128.0,42.982923,-71.446094
1.0,2000-01,1.0,5,Penalty Spot,shot - 5,46.0,266.9082239272518,0.0,103.0,42.982923,-71.446094
2.0,2000-01,1.0,0,Goal Area,shot - 1,20.0,0.0,0.0,617.0,42.982923,-71.446094
2.0,2000-01,1.0,4,Mid Range,shot - 3,38.0,182.23611058184932,0.0,556.0,42.982923,-71.446094
