power_of_shot,game_season,is_goal,area_of_shot,shot_basics,combined_shot,distance_of_shot,location,knockout_match,remaining_total,latitude,longitude,shot_id_number
2.0,2000-01,1.0,0,5,23,45.0,257.61405241174253,0.0,230.0,29.444994,-98.52412,96.0
2.0,2009-10,,1,4,4,38.0,185.56939402821789,0.0,195.0,29.444994,-98.52412,
2.0,2000-01,0.0,1,5,47,44.0,244.4360857156733,0.0,0.0,29.444994,-98.52412,98.0
4.0,2000-01,1.0,5,4,23,34.0,140.0,0.0,48.0,29.444994,-98.52412,99.0
3.0,2000-01,0.0,0,1,23,24.0,42.85434553611371,0.0,686.0,29.444994,-98.52412,100.0
3.0,2000-01,0.0,0,4,0,35.0,151.90786681406598,0.0,560.0,29.444994,-98.52412,101.0
3.0,2000-01,1.0,0,0,1,20.0,1.0,0.0,473.0,29.444994,-98.52412,102.0
3.0,2000-01,1.0,4,4,50,37.0,178.46568297574746,0.0,400.0,29.444994,-98.52412,103.0
3.0,2000-01,,1,4,48,37.0,170.20575783445162,0.0,256.0,29.444994,-98.52412,104.0
3.0,2000-01,0.0,5,4,7,32.0,120.5072611920128,0.0,180.0,29.444994,-98.52412,105.0
3.0,2000-01,0.0,2,4,23,39.0,197.51708786836647,0.0,48.0,29.444994,-98.52412,106.0
3.0,2000-01,0.0,2,4,23,37.0,174.87424052730012,0.0,21.0,29.444994,-98.52412,107.0
4.0,2000-01,0.0,0,1,23,31.0,118.45674315968678,0.0,639.0,29.444994,-98.52412,108.0
4.0,2000-01,0.0,1,4,23,36.0,169.0,0.0,428.0,29.444994,-98.52412,109.0
4.0,2000-01,1.0,2,4,23,36.0,168.0238078368658,0.0,385.0,29.444994,-98.52412,110.0
4.0,2000-01,0.0,2,1,23,29.0,95.60334722173694,0.0,314.0,29.444994,-98.52412,111.0
4.0,2000-01,0.0,0,1,23,27.0,79.17701686727027,0.0,218.0,29.444994,-98.52412,
4.0,2000-01,,1,4,44,41.0,212.8403157298917,0.0,43.0,29.444994,-98.52412,113.0
1.0,2009-10,0.0,1,4,9,41.0,210.19038988498025,0.0,669.0,42.982923,-71.44609399999999,114.0
1.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,617.0,42.982923,-71.44609399999999,115.0
1.0,2000-01,0.0,0,0,41,20.0,0.0,0.0,563.0,42.982923,-71.44609399999999,116.0
1.0,2000-01,0.0,0,0,45,20.0,2.3286893159166806,0.0,561.0,42.982923,-71.44609399999999,117.0
1.0,2009-10,1.0,0,0,1,20.0,0.0,0.0,182.0,42.982923,-71.44609399999999,118.0
1.0,2000-01,1.0,0,0,34,20.0,2.3286893159166806,0.0,44.0,42.982923,-71.44609399999999,119.0
1.0,2000-01,0.0,4,4,23,36.0,164.63899902513984,0.0,21.0,42.982923,-71.44609399999999,120.0
2.0,2000-01,1.0,1,4,30,38.0,184.69414230680331,0.0,530.0,42.982923,-71.44609399999999,121.0
2.0,2009-10,,0,0,26,20.0,0.0,0.0,498.0,42.982923,-71.44609399999999,122.0
2.0,2009-10,,0,4,34,36.0,164.43131419670482,0.0,160.0,42.982923,-71.44609399999999,123.0
2.0,2009-10,1.0,0,0,50,20.0,2.3286893159166806,0.0,30.0,42.982923,-71.44609399999999,124.0
2.0,2000-01,1.0,0,5,23,47.0,276.0018115882575,0.0,4.0,42.982923,-71.44609399999999,125.0
3.0,2000-01,,1,4,23,36.0,164.43131419670482,0.0,599.0,42.982923,-71.44609399999999,126.0
3.0,2000-01,1.0,5,4,23,35.0,155.20631430454108,0.0,518.0,42.982923,-71.44609399999999,127.0
3.0,2000-01,1.0,2,4,23,35.0,155.54420593516173,0.0,318.0,42.982923,-71.44609399999999,128.0
3.0,2000-01,0.0,2,4,37,35.0,157.30543537970962,0.0,274.0,42.982923,-71.44609399999999,129.0
3.0,2000-01,0.0,2,4,4,37.0,178.1796845883391,0.0,231.0,42.982923,-71.44609399999999,130.0
3.0,2000-01,0.0,0,1,14,29.0,90.42676594902642,0.0,220.0,42.982923,-71.44609399999999,131.0
3.0,2000-01,1.0,0,1,23,31.0,116.36150566231085,0.0,213.0,42.982923,-71.44609399999999,132.0
3.0,2000-01,,0,0,41,20.0,0.0,0.0,176.0,42.982923,-71.44609399999999,133.0
3.0,2000-01,,2,4,23,37.0,170.49633427144408,0.0,125.0,42.982923,-71.44609399999999,134.0
3.0,2009-10,0.0,1,4,23,37.0,178.46568297574746,0.0,14.0,42.982923,-71.44609399999999,135.0
4.0,2000-01,0.0,0,1,23,24.0,41.0,0.0,652.0,42.982923,-71.44609399999999,136.0
4.0,2009-10,0.0,2,4,23,31.0,117.38824472663352,0.0,394.0,42.982923,-71.44609399999999,137.0
4.0,2000-01,0.0,0,1,9,25.0,59.682493245507096,0.0,297.0,42.982923,-71.44609399999999,138.0
4.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,208.0,42.982923,-71.44609399999999,139.0
4.0,2009-10,1.0,0,1,39,25.0,59.682493245507096,0.0,98.0,42.982923,-71.44609399999999,140.0
4.0,2000-01,,0,1,23,25.0,57.62811813689564,0.0,65.0,42.982923,-71.44609399999999,141.0
4.0,2009-10,0.0,0,0,45,20.0,0.0,0.0,63.0,42.982923,-71.44609399999999,142.0
1.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,463.0,42.982923,-71.44609399999999,143.0
1.0,2000-01,,5,6,40,43.0,237.25513693068905,0.0,292.0,42.982923,-71.44609399999999,144.0
1.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,188.0,42.982923,-71.44609399999999,145.0
1.0,2000-01,1.0,5,4,23,32.0,129.0620006043607,0.0,145.0,42.982923,-71.44609399999999,146.0
1.0,2000-01,1.0,2,4,0,33.0,137.88763541376724,0.0,48.0,42.982923,-71.44609399999999,147.0
2.0,2000-01,0.0,5,4,3,38.0,184.3176605754316,0.0,676.0,42.982923,-71.44609399999999,148.0
2.0,2000-01,0.0,4,5,23,47.0,271.4129694764051,0.0,619.0,42.982923,-71.44609399999999,149.0
2.0,2000-01,,0,0,34,39.0,194.82555636185256,0.0,605.0,42.982923,-71.44609399999999,150.0
2.0,2000-01,1.0,4,4,23,40.0,201.55644370746373,0.0,547.0,42.982923,-71.44609399999999,151.0
2.0,2000-01,,0,4,26,36.0,169.14490828872147,0.0,254.0,42.982923,-71.44609399999999,152.0
2.0,2000-01,,0,0,34,19.770151599444688,0.0,0.0,202.0,42.982923,-71.44609399999999,153.0
2.0,2009-10,0.0,0,0,33,20.0,0.0,0.0,114.0,42.982923,-71.44609399999999,154.0
2.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,28.0,42.982923,-71.44609399999999,155.0
2.0,2000-01,,0,0,45,20.0,0.0,0.0,26.0,42.982923,-71.44609399999999,156.0
3.0,2000-01,0.0,4,4,23,40.0,204.41624201613732,0.0,623.0,42.982923,-71.44609399999999,157.0
3.0,2000-01,0.0,0,1,23,27.0,72.00694410957877,0.0,323.0,42.982923,-71.44609399999999,158.0
3.0,2000-01,,0,0,17,20.0,0.0,0.0,233.0,42.982923,-71.44609399999999,
3.0,2000-01,1.0,0,0,26,20.0,0.0,0.0,37.0,42.982923,-71.44609399999999,160.0
4.0,2000-01,1.0,4,5,23,45.0,256.2596339652424,0.0,43.0,42.982923,-71.44609399999999,161.0
4.0,2000-01,1.0,0,0,34,20.0,0.0,0.0,628.0,42.982923,-71.44609399999999,162.0
4.0,2000-01,1.0,0,0,4,20.0,0.0,0.0,611.0,42.982923,-71.44609399999999,163.0
4.0,2000-01,0.0,0,0,33,20.0,0.0,0.0,337.0,42.982923,-71.44609399999999,164.0
4.0,2000-01,,0,0,52,19.770151599444688,0.0,0.0,332.0,42.982923,-71.44609399999999,165.0
1.0,2000-01,1.0,4,4,50,41.0,217.34764779035453,0.0,702.0,38.567296,-121.45663799999998,166.0
1.0,2000-01,0.0,1,4,23,41.0,218.04815981796315,0.0,7.0,38.567296,-121.45663799999998,167.0
1.0,2000-01,0.0,2,4,23,36.0,164.43131419670482,0.0,533.0,38.567296,-121.45663799999998,168.0
1.0,2000-01,0.0,0,1,23,27.0,78.7146746166177,0.0,496.0,38.567296,-121.45663799999998,169.0
1.0,2000-01,0.0,0,0,34,19.770151599444688,0.0,0.0,463.0,38.567296,-121.45663799999998,170.0
1.0,2000-01,1.0,0,1,4,25.0,55.97320787662612,0.0,167.0,38.567296,-121.45663799999998,171.0
1.0,2000-01,,4,4,23,40.0,206.24257562394826,0.0,96.0,38.567296,-121.45663799999998,172.0
1.0,2009-10,0.0,5,4,12,40.0,200.06249023742558,0.0,65.0,38.567296,-121.45663799999998,173.0
2.0,2000-01,1.0,4,4,3,41.0,211.68372634664195,0.0,493.0,38.567296,-121.45663799999998,174.0
2.0,2000-01,1.0,5,4,23,36.0,169.01183390520322,0.0,387.0,38.567296,-121.45663799999998,175.0
2.0,2000-01,0.0,0,4,23,38.0,180.60177186284747,0.0,52.0,38.567296,-121.45663799999998,176.0
2.0,2009-10,0.0,5,4,23,36.0,163.11039206623224,0.0,19.0,38.567296,-121.45663799999998,177.0
2.0,2009-10,0.0,3,3,23,67.0,479.3099206150442,0.0,0.0,38.567296,-121.45663799999998,178.0
3.0,2000-01,0.0,0,1,23,33.0,137.44089638822936,0.0,532.0,38.567296,-121.45663799999998,179.0
3.0,2000-01,0.0,5,4,30,39.0,199.42417105255825,0.0,175.0,38.567296,-121.45663799999998,180.0
3.0,2000-01,0.0,4,5,23,44.0,245.48262663709892,0.0,1.0,38.567296,-121.45663799999998,181.0
4.0,2000-01,,0,0,1,20.0,0.0,0.0,704.0,38.567296,-121.45663799999998,182.0
4.0,2000-01,0.0,0,5,23,44.0,247.24481794367298,0.0,558.0,38.567296,-121.45663799999998,183.0
4.0,2000-01,0.0,1,5,23,45.0,252.0099204396525,0.0,343.0,38.567296,-121.45663799999998,184.0
4.0,2000-01,1.0,0,5,17,44.0,248.93774322107123,0.0,2.0,38.567296,-121.45663799999998,185.0
5.0,2000-01,1.0,0,1,41,29.0,99.50376877284599,0.0,125.0,38.567296,-121.45663799999998,186.0
5.0,2000-01,0.0,0,1,34,30.0,100.84145972763383,0.0,127.0,38.567296,-121.45663799999998,187.0
5.0,2000-01,1.0,1,4,3,41.0,212.90608258102915,0.0,24.0,38.567296,-121.45663799999998,188.0
1.0,2000-01,1.0,1,4,44,39.0,194.82555636185256,0.0,605.0,39.739968,-104.95401299999999,189.0
1.0,2000-01,0.0,4,4,23,45.0,258.2111539031573,0.0,547.0,39.739968,-104.95401299999999,190.0
1.0,2009-10,0.0,0,0,34,20.0,0.0,0.0,495.0,39.739968,-104.95401299999999,191.0
1.0,2000-01,,5,4,42,37.0,174.1034175425629,0.0,384.0,39.739968,-104.95401299999999,192.0
1.0,2009-10,,0,0,34,20.0,0.0,0.0,362.0,39.739968,-104.95401299999999,193.0
1.0,2000-01,0.0,1,4,23,38.0,187.4913331330277,0.0,262.0,39.739968,-104.95401299999999,194.0
1.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,249.0,39.739968,-104.95401299999999,195.0
1.0,2000-01,,5,4,6,35.0,153.0522786501397,0.0,18.0,39.739968,-104.95401299999999,196.0
2.0,2000-01,0.0,0,1,23,29.0,93.00537618869137,0.0,679.0,39.739968,-104.95401299999999,197.0
2.0,2000-01,1.0,4,4,23,39.0,197.0406049523803,0.0,411.0,39.739968,-104.95401299999999,198.0
2.0,2000-01,1.0,4,5,49,45.0,255.50146770615623,0.0,371.0,39.739968,-104.95401299999999,199.0
2.0,2000-01,0.0,5,4,23,36.0,167.0,0.0,21.0,39.739968,-104.95401299999999,200.0
3.0,2000-01,0.0,1,5,23,49.0,293.71584907866315,0.0,677.0,39.739968,-104.95401299999999,201.0
3.0,2000-01,,2,4,23,37.0,174.92855684535903,0.0,605.0,39.739968,-104.95401299999999,202.0
3.0,2009-10,0.0,5,4,23,36.0,167.10774967068403,0.0,515.0,39.739968,-104.95401299999999,203.0
3.0,2000-01,1.0,0,4,23,35.0,150.05332385522155,0.0,384.0,39.739968,-104.95401299999999,204.0
4.0,2000-01,,2,4,23,38.0,185.21878954360974,0.0,301.0,39.739968,-104.95401299999999,205.0
3.0,2000-01,1.0,5,6,45,21.64550679633656,237.76038357977126,0.0,201.0,39.739968,-104.95401299999999,206.0
3.0,2000-01,1.0,2,2,30,21.64550679633656,229.78685776170929,0.0,47.0,39.739968,-104.95401299999999,207.0
4.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,670.0,39.739968,-104.95401299999999,208.0
4.0,2000-01,1.0,0,0,17,20.0,0.0,0.0,430.0,39.739968,-104.95401299999999,209.0
4.0,2000-01,,1,5,50,46.0,264.8244701684495,0.0,319.0,39.739968,-104.95401299999999,210.0
4.0,2000-01,,1,4,23,40.0,202.41047403728885,0.0,218.0,39.739968,-104.95401299999999,211.0
4.0,2000-01,1.0,0,1,23,28.0,89.96110270555825,0.0,78.0,39.739968,-104.95401299999999,212.0
4.0,2000-01,0.0,0,1,23,29.0,96.60745312862772,0.0,46.0,39.739968,-104.95401299999999,213.0
1.0,2000-01,0.0,0,5,23,44.0,248.58197842965203,0.0,543.0,42.982923,-71.44609399999999,214.0
1.0,2009-10,0.0,0,1,36,29.0,93.51141581136,0.0,370.0,42.982923,-71.44609399999999,
1.0,2009-10,1.0,0,0,4,20.0,0.0,0.0,190.0,42.982923,-71.44609399999999,216.0
1.0,2000-01,0.0,0,0,33,20.0,0.0,0.0,13.0,42.982923,-71.44609399999999,217.0
2.0,2000-01,1.0,0,0,4,20.0,0.0,0.0,444.0,42.982923,-71.44609399999999,
2.0,2000-01,0.0,4,4,50,37.0,177.34147850968205,0.0,363.0,42.982923,-71.44609399999999,
2.0,2000-01,0.0,4,4,23,43.0,232.42202993692314,0.0,44.0,42.982923,-71.44609399999999,220.0
3.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,684.0,42.982923,-71.44609399999999,221.0
3.0,2000-01,1.0,0,0,33,20.0,0.0,0.0,619.0,42.982923,-71.44609399999999,222.0
3.0,2009-10,0.0,4,4,23,38.0,181.13530854032848,0.0,585.0,42.982923,-71.44609399999999,223.0
3.0,2000-01,1.0,4,4,40,40.0,200.1124683771604,0.0,442.0,42.982923,-71.44609399999999,224.0
3.0,2000-01,0.0,0,1,35,32.0,128.5496013218244,0.0,403.0,42.982923,-71.44609399999999,225.0
3.0,2000-01,1.0,2,1,39,31.0,114.0570032922135,0.0,295.0,42.982923,-71.44609399999999,
3.0,2009-10,0.0,0,0,34,20.0,0.0,0.0,94.0,42.982923,-71.44609399999999,227.0
3.0,2009-10,,0,0,1,20.0,0.0,0.0,4.0,42.982923,-71.44609399999999,
4.0,2009-10,0.0,4,5,23,47.0,270.64737205448716,0.0,673.0,42.982923,-71.44609399999999,229.0
4.0,2000-01,0.0,1,4,31,37.931486137766,226.45087767549057,0.0,652.0,42.982923,-71.44609399999999,230.0
4.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,612.0,42.982923,-71.44609399999999,231.0
4.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,608.0,42.982923,-71.44609399999999,232.0
4.0,2000-01,1.0,0,1,23,28.0,80.00624975587844,0.0,140.0,42.982923,-71.44609399999999,233.0
4.0,2009-10,0.0,1,4,3,38.0,180.8009955724802,0.0,97.0,42.982923,-71.44609399999999,
4.0,2000-01,0.0,2,4,40,41.0,210.0119044244873,0.0,31.0,42.982923,-71.44609399999999,235.0
1.0,2000-01,1.0,1,4,11,38.0,181.463494951464,0.0,605.0,42.982923,-71.44609399999999,236.0
1.0,2009-10,0.0,0,4,23,38.0,181.463494951464,0.0,480.0,42.982923,-71.44609399999999,237.0
1.0,2009-10,0.0,0,5,23,45.0,255.61404069214808,0.0,298.0,42.982923,-71.44609399999999,238.0
1.0,2000-01,1.0,0,0,34,20.0,2.3286893159166806,0.0,156.0,42.982923,-71.44609399999999,239.0
1.0,2000-01,0.0,0,0,34,20.0,0.0,0.0,140.0,42.982923,-71.44609399999999,240.0
1.0,2000-01,1.0,0,0,4,20.0,0.0,0.0,128.0,42.982923,-71.44609399999999,241.0
1.0,2000-01,1.0,4,5,45,46.0,266.9082239272518,0.0,103.0,42.982923,-71.44609399999999,242.0
2.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,617.0,42.982923,-71.44609399999999,243.0
2.0,2000-01,1.0,1,4,23,38.0,182.2361105818493,0.0,556.0,42.982923,-71.44609399999999,244.0
2.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,214.0,42.982923,-71.44609399999999,245.0
2.0,2000-01,1.0,4,4,53,38.0,184.69414230680331,0.0,150.0,42.982923,-71.44609399999999,246.0
3.0,2000-01,1.0,0,0,1,20.0,0.0,0.0,592.0,42.982923,-71.44609399999999,247.0
3.0,2000-01,1.0,0,0,34,19.770151599444688,0.0,0.0,552.0,42.982923,-71.44609399999999,248.0
3.0,2000-01,1.0,4,5,48,46.0,262.52809373474685,0.0,391.0,42.982923,-71.44609399999999,249.0
3.0,2000-01,,0,0,52,20.0,0.0,0.0,369.0,42.982923,-71.44609399999999,
3.0,2000-01,0.0,5,4,23,36.0,163.1502375113196,0.0,320.0,42.982923,-71.44609399999999,251.0
3.0,2000-01,0.0,0,0,33,20.0,0.0,0.0,126.0,42.982923,-71.44609399999999,252.0
3.0,2000-01,1.0,0,0,34,20.0,0.0,0.0,120.0,42.982923,-71.44609399999999,253.0
3.0,2000-01,1.0,0,0,33,37.0,174.56272825175407,0.0,86.0,42.982923,-71.44609399999999,254.0
