,power_of_shot,game_season,is_goal,area_of_shot,shot_basics,combined_shot,distance_of_shot,location,knockout_match,remaining_total,latitude,longitude,shot_id_number
55,1.0,4.0,0.0,1.0,5.0,23.0,44.0,248.31633051412467,0.0,153.0,42.982923,-71.44609399999999,56.0
56,2.0,4.0,1.0,0.0,4.0,31.0,42.0,228.00219297190984,0.0,686.0,42.982923,-71.44609399999999,57.0
57,2.0,13.0,1.0,0.0,0.0,34.0,20.0,0.0,0.0,520.0,42.982923,-71.44609399999999,58.0
58,2.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,245.0,42.982923,-71.44609399999999,59.0
60,2.0,4.0,0.0,0.0,1.0,30.0,31.0,112.92918134831228,0.0,122.0,42.982923,-71.44609399999999,61.0
62,3.0,4.0,0.0,0.0,0.0,34.0,20.0,2.3286893159166806,0.0,572.0,42.982923,-71.44609399999999,63.0
63,3.0,4.0,0.0,0.0,1.0,34.0,25.0,52.98575959116297,0.0,37.0,42.982923,-71.44609399999999,64.0
64,3.0,4.0,1.0,5.0,4.0,39.0,32.0,123.7618681177688,0.0,1.0,42.982923,-71.44609399999999,65.0
67,1.0,4.0,0.0,5.0,6.0,14.0,43.0,237.92856070678025,0.0,497.0,29.740325,-95.365762,68.0
68,1.0,4.0,1.0,0.0,0.0,34.0,20.0,0.0,0.0,473.0,29.740325,-95.365762,69.0
69,1.0,4.0,1.0,0.0,0.0,1.0,20.0,2.3286893159166806,0.0,421.0,29.740325,-95.365762,70.0
72,2.0,4.0,1.0,0.0,0.0,34.0,20.0,2.3286893159166806,0.0,476.0,29.740325,-95.365762,73.0
73,2.0,4.0,0.0,0.0,4.0,0.0,27.0,76.48529270389176,0.0,160.0,29.740325,-95.365762,74.0
74,2.0,4.0,0.0,4.0,5.0,1.0,45.0,252.96047122030743,0.0,10.0,29.740325,-95.365762,75.0
76,3.0,4.0,0.0,0.0,1.0,1.0,25.39621719012031,59.20304046246274,0.0,550.0,29.740325,-95.365762,77.0
77,3.0,4.0,0.0,2.0,4.0,30.0,33.0,138.40520221436765,0.0,444.0,29.740325,-95.365762,78.0
78,3.0,4.0,0.0,2.0,1.0,12.0,28.0,82.49242389456137,0.0,1.0,29.740325,-95.365762,79.0
80,4.0,4.0,1.0,0.0,1.0,13.0,33.0,136.34148304899722,0.0,301.0,29.740325,-95.365762,81.0
81,4.0,4.0,0.0,0.0,4.0,23.0,35.0,156.00320509528,0.0,46.0,29.740325,-95.365762,82.0
82,1.0,4.0,0.0,4.0,5.0,7.0,44.0,248.8875247978492,0.0,701.0,29.444994,-98.52412,83.0
83,1.0,4.0,0.0,0.0,0.0,4.0,20.0,8.94427190999916,0.0,659.0,29.444994,-98.52412,84.0
87,1.0,4.0,1.0,0.0,4.0,2.0,39.0,190.22355269524326,0.0,354.0,29.444994,-98.52412,88.0
88,1.0,4.0,1.0,5.0,4.0,23.0,35.0,159.29846201391902,0.0,144.0,29.444994,-98.52412,89.0
89,1.0,4.0,1.0,5.0,4.0,7.0,34.0,140.0,0.0,108.0,29.444994,-98.52412,90.0
90,1.0,4.0,1.0,0.0,4.0,23.0,35.0,156.00320509528,0.0,85.0,29.444994,-98.52412,91.0
92,2.0,4.0,0.0,5.0,4.0,23.0,33.0,133.70115930686615,0.0,657.0,29.444994,-98.52412,93.0
93,2.0,4.0,0.0,5.0,4.0,44.0,35.0,158.09174551506476,0.0,577.0,29.444994,-98.52412,94.0
95,2.0,4.0,1.0,0.0,5.0,23.0,45.0,257.61405241174253,0.0,230.0,29.444994,-98.52412,96.0
97,2.0,4.0,0.0,1.0,5.0,47.0,44.0,244.4360857156733,0.0,0.0,29.444994,-98.52412,98.0
98,4.0,4.0,1.0,5.0,4.0,23.0,34.0,140.0,0.0,48.0,29.444994,-98.52412,99.0
99,3.0,4.0,0.0,0.0,1.0,23.0,24.0,42.85434553611371,0.0,686.0,29.444994,-98.52412,100.0
100,3.0,4.0,0.0,0.0,4.0,0.0,35.0,151.90786681406598,0.0,560.0,29.444994,-98.52412,101.0
101,3.0,4.0,1.0,0.0,0.0,1.0,20.0,1.0,0.0,473.0,29.444994,-98.52412,102.0
102,3.0,4.0,1.0,4.0,4.0,50.0,37.0,178.46568297574746,0.0,400.0,29.444994,-98.52412,103.0
104,3.0,4.0,0.0,5.0,4.0,7.0,32.0,120.5072611920128,0.0,180.0,29.444994,-98.52412,105.0
105,3.0,4.0,0.0,2.0,4.0,23.0,39.0,197.51708786836647,0.0,48.0,29.444994,-98.52412,106.0
106,3.0,4.0,0.0,2.0,4.0,23.0,37.0,174.87424052730012,0.0,21.0,29.444994,-98.52412,107.0
107,4.0,4.0,0.0,0.0,1.0,23.0,31.0,118.45674315968678,0.0,639.0,29.444994,-98.52412,108.0
108,4.0,4.0,0.0,1.0,4.0,23.0,36.0,169.0,0.0,428.0,29.444994,-98.52412,109.0
109,4.0,4.0,1.0,2.0,4.0,23.0,36.0,168.0238078368658,0.0,385.0,29.444994,-98.52412,110.0
110,4.0,4.0,0.0,2.0,1.0,23.0,29.0,95.60334722173694,0.0,314.0,29.444994,-98.52412,111.0
111,4.0,4.0,0.0,0.0,1.0,23.0,27.0,79.17701686727027,0.0,218.0,29.444994,-98.52412,112.0
113,1.0,13.0,0.0,1.0,4.0,9.0,41.0,210.19038988498025,0.0,669.0,42.982923,-71.44609399999999,114.0
114,1.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,617.0,42.982923,-71.44609399999999,115.0
115,1.0,4.0,0.0,0.0,0.0,41.0,20.0,0.0,0.0,563.0,42.982923,-71.44609399999999,116.0
116,1.0,4.0,0.0,0.0,0.0,45.0,20.0,2.3286893159166806,0.0,561.0,42.982923,-71.44609399999999,117.0
117,1.0,13.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,182.0,42.982923,-71.44609399999999,118.0
118,1.0,4.0,1.0,0.0,0.0,34.0,20.0,2.3286893159166806,0.0,44.0,42.982923,-71.44609399999999,119.0
119,1.0,4.0,0.0,4.0,4.0,23.0,36.0,164.63899902513984,0.0,21.0,42.982923,-71.44609399999999,120.0
120,2.0,4.0,1.0,1.0,4.0,30.0,38.0,184.69414230680331,0.0,530.0,42.982923,-71.44609399999999,121.0
123,2.0,13.0,1.0,0.0,0.0,50.0,20.0,2.3286893159166806,0.0,30.0,42.982923,-71.44609399999999,124.0
124,2.0,4.0,1.0,0.0,5.0,23.0,47.0,276.0018115882575,0.0,4.0,42.982923,-71.44609399999999,125.0
126,3.0,4.0,1.0,5.0,4.0,23.0,35.0,155.20631430454108,0.0,518.0,42.982923,-71.44609399999999,127.0
127,3.0,4.0,1.0,2.0,4.0,23.0,35.0,155.54420593516173,0.0,318.0,42.982923,-71.44609399999999,128.0
128,3.0,4.0,0.0,2.0,4.0,37.0,35.0,157.30543537970962,0.0,274.0,42.982923,-71.44609399999999,129.0
129,3.0,4.0,0.0,2.0,4.0,4.0,37.0,178.1796845883391,0.0,231.0,42.982923,-71.44609399999999,130.0
130,3.0,4.0,0.0,0.0,1.0,14.0,29.0,90.42676594902642,0.0,220.0,42.982923,-71.44609399999999,131.0
131,3.0,4.0,1.0,0.0,1.0,23.0,31.0,116.36150566231085,0.0,213.0,42.982923,-71.44609399999999,132.0
134,3.0,13.0,0.0,1.0,4.0,23.0,37.0,178.46568297574746,0.0,14.0,42.982923,-71.44609399999999,135.0
135,4.0,4.0,0.0,0.0,1.0,23.0,24.0,41.0,0.0,652.0,42.982923,-71.44609399999999,136.0
136,4.0,13.0,0.0,2.0,4.0,23.0,31.0,117.38824472663352,0.0,394.0,42.982923,-71.44609399999999,137.0
137,4.0,4.0,0.0,0.0,1.0,9.0,25.0,59.682493245507096,0.0,297.0,42.982923,-71.44609399999999,138.0
138,4.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,208.0,42.982923,-71.44609399999999,139.0
139,4.0,13.0,1.0,0.0,1.0,39.0,25.0,59.682493245507096,0.0,98.0,42.982923,-71.44609399999999,140.0
141,4.0,13.0,0.0,0.0,0.0,45.0,20.0,0.0,0.0,63.0,42.982923,-71.44609399999999,142.0
142,1.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,463.0,42.982923,-71.44609399999999,143.0
144,1.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,188.0,42.982923,-71.44609399999999,145.0
145,1.0,4.0,1.0,5.0,4.0,23.0,32.0,129.0620006043607,0.0,145.0,42.982923,-71.44609399999999,146.0
146,1.0,4.0,1.0,2.0,4.0,0.0,33.0,137.88763541376724,0.0,48.0,42.982923,-71.44609399999999,147.0
147,2.0,4.0,0.0,5.0,4.0,3.0,38.0,184.3176605754316,0.0,676.0,42.982923,-71.44609399999999,148.0
148,2.0,4.0,0.0,4.0,5.0,23.0,47.0,271.4129694764051,0.0,619.0,42.982923,-71.44609399999999,149.0
150,2.0,4.0,1.0,4.0,4.0,23.0,40.0,201.55644370746373,0.0,547.0,42.982923,-71.44609399999999,151.0
153,2.0,13.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,114.0,42.982923,-71.44609399999999,154.0
154,2.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,28.0,42.982923,-71.44609399999999,155.0
156,3.0,4.0,0.0,4.0,4.0,23.0,40.0,204.41624201613732,0.0,623.0,42.982923,-71.44609399999999,157.0
157,3.0,4.0,0.0,0.0,1.0,23.0,27.0,72.00694410957877,0.0,323.0,42.982923,-71.44609399999999,158.0
159,3.0,4.0,1.0,0.0,0.0,26.0,20.0,0.0,0.0,37.0,42.982923,-71.44609399999999,160.0
160,4.0,4.0,1.0,4.0,5.0,23.0,45.0,256.2596339652424,0.0,43.0,42.982923,-71.44609399999999,161.0
161,4.0,4.0,1.0,0.0,0.0,34.0,20.0,0.0,0.0,628.0,42.982923,-71.44609399999999,162.0
162,4.0,4.0,1.0,0.0,0.0,4.0,20.0,0.0,0.0,611.0,42.982923,-71.44609399999999,163.0
163,4.0,4.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,337.0,42.982923,-71.44609399999999,164.0
165,1.0,4.0,1.0,4.0,4.0,50.0,41.0,217.34764779035453,0.0,702.0,38.567296,-121.45663799999998,166.0
166,1.0,4.0,0.0,1.0,4.0,23.0,41.0,218.04815981796315,0.0,7.0,38.567296,-121.45663799999998,167.0
167,1.0,4.0,0.0,2.0,4.0,23.0,36.0,164.43131419670482,0.0,533.0,38.567296,-121.45663799999998,168.0
168,1.0,4.0,0.0,0.0,1.0,23.0,27.0,78.7146746166177,0.0,496.0,38.567296,-121.45663799999998,169.0
169,1.0,4.0,0.0,0.0,0.0,34.0,19.770151599444688,0.0,0.0,463.0,38.567296,-121.45663799999998,170.0
170,1.0,4.0,1.0,0.0,1.0,4.0,25.0,55.97320787662612,0.0,167.0,38.567296,-121.45663799999998,171.0
172,1.0,13.0,0.0,5.0,4.0,12.0,40.0,200.06249023742558,0.0,65.0,38.567296,-121.45663799999998,173.0
173,2.0,4.0,1.0,4.0,4.0,3.0,41.0,211.68372634664195,0.0,493.0,38.567296,-121.45663799999998,174.0
174,2.0,4.0,1.0,5.0,4.0,23.0,36.0,169.01183390520322,0.0,387.0,38.567296,-121.45663799999998,175.0
175,2.0,4.0,0.0,0.0,4.0,23.0,38.0,180.60177186284747,0.0,52.0,38.567296,-121.45663799999998,176.0
176,2.0,13.0,0.0,5.0,4.0,23.0,36.0,163.11039206623224,0.0,19.0,38.567296,-121.45663799999998,177.0
177,2.0,13.0,0.0,3.0,3.0,23.0,67.0,479.3099206150442,0.0,0.0,38.567296,-121.45663799999998,178.0
178,3.0,4.0,0.0,0.0,1.0,23.0,33.0,137.44089638822936,0.0,532.0,38.567296,-121.45663799999998,179.0
179,3.0,4.0,0.0,5.0,4.0,30.0,39.0,199.42417105255825,0.0,175.0,38.567296,-121.45663799999998,180.0
180,3.0,4.0,0.0,4.0,5.0,23.0,44.0,245.48262663709892,0.0,1.0,38.567296,-121.45663799999998,181.0
182,4.0,4.0,0.0,0.0,5.0,23.0,44.0,247.24481794367298,0.0,558.0,38.567296,-121.45663799999998,183.0
183,4.0,4.0,0.0,1.0,5.0,23.0,45.0,252.0099204396525,0.0,343.0,38.567296,-121.45663799999998,184.0
184,4.0,4.0,1.0,0.0,5.0,17.0,44.0,248.93774322107123,0.0,2.0,38.567296,-121.45663799999998,185.0
185,5.0,4.0,1.0,0.0,1.0,41.0,29.0,99.50376877284599,0.0,125.0,38.567296,-121.45663799999998,186.0
186,5.0,4.0,0.0,0.0,1.0,34.0,30.0,100.84145972763383,0.0,127.0,38.567296,-121.45663799999998,187.0
187,5.0,4.0,1.0,1.0,4.0,3.0,41.0,212.90608258102915,0.0,24.0,38.567296,-121.45663799999998,188.0
188,1.0,4.0,1.0,1.0,4.0,44.0,39.0,194.82555636185256,0.0,605.0,39.739968,-104.95401299999999,189.0
189,1.0,4.0,0.0,4.0,4.0,23.0,45.0,258.2111539031573,0.0,547.0,39.739968,-104.95401299999999,190.0
190,1.0,13.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,495.0,39.739968,-104.95401299999999,191.0
193,1.0,4.0,0.0,1.0,4.0,23.0,38.0,187.4913331330277,0.0,262.0,39.739968,-104.95401299999999,194.0
194,1.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,249.0,39.739968,-104.95401299999999,195.0
196,2.0,4.0,0.0,0.0,1.0,23.0,29.0,93.00537618869137,0.0,679.0,39.739968,-104.95401299999999,197.0
197,2.0,4.0,1.0,4.0,4.0,23.0,39.0,197.0406049523803,0.0,411.0,39.739968,-104.95401299999999,198.0
198,2.0,4.0,1.0,4.0,5.0,49.0,45.0,255.50146770615623,0.0,371.0,39.739968,-104.95401299999999,199.0
199,2.0,4.0,0.0,5.0,4.0,23.0,36.0,167.0,0.0,21.0,39.739968,-104.95401299999999,200.0
200,3.0,4.0,0.0,1.0,5.0,23.0,49.0,293.71584907866315,0.0,677.0,39.739968,-104.95401299999999,201.0
202,3.0,13.0,0.0,5.0,4.0,23.0,36.0,167.10774967068403,0.0,515.0,39.739968,-104.95401299999999,203.0
203,3.0,4.0,1.0,0.0,4.0,23.0,35.0,150.05332385522155,0.0,384.0,39.739968,-104.95401299999999,204.0
205,3.0,4.0,1.0,5.0,6.0,45.0,21.64550679633656,237.76038357977126,0.0,201.0,39.739968,-104.95401299999999,206.0
206,3.0,4.0,1.0,2.0,2.0,30.0,21.64550679633656,229.78685776170929,0.0,47.0,39.739968,-104.95401299999999,207.0
207,4.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,670.0,39.739968,-104.95401299999999,208.0
208,4.0,4.0,1.0,0.0,0.0,17.0,20.0,0.0,0.0,430.0,39.739968,-104.95401299999999,209.0
211,4.0,4.0,1.0,0.0,1.0,23.0,28.0,89.96110270555825,0.0,78.0,39.739968,-104.95401299999999,212.0
212,4.0,4.0,0.0,0.0,1.0,23.0,29.0,96.60745312862772,0.0,46.0,39.739968,-104.95401299999999,213.0
213,1.0,4.0,0.0,0.0,5.0,23.0,44.0,248.58197842965203,0.0,543.0,42.982923,-71.44609399999999,214.0
214,1.0,13.0,0.0,0.0,1.0,36.0,29.0,93.51141581136,0.0,370.0,42.982923,-71.44609399999999,215.0
215,1.0,13.0,1.0,0.0,0.0,4.0,20.0,0.0,0.0,190.0,42.982923,-71.44609399999999,216.0
216,1.0,4.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,13.0,42.982923,-71.44609399999999,217.0
217,2.0,4.0,1.0,0.0,0.0,4.0,20.0,0.0,0.0,444.0,42.982923,-71.44609399999999,218.0
218,2.0,4.0,0.0,4.0,4.0,50.0,37.0,177.34147850968205,0.0,363.0,42.982923,-71.44609399999999,219.0
219,2.0,4.0,0.0,4.0,4.0,23.0,43.0,232.42202993692314,0.0,44.0,42.982923,-71.44609399999999,220.0
220,3.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,684.0,42.982923,-71.44609399999999,221.0
221,3.0,4.0,1.0,0.0,0.0,33.0,20.0,0.0,0.0,619.0,42.982923,-71.44609399999999,222.0
222,3.0,13.0,0.0,4.0,4.0,23.0,38.0,181.13530854032848,0.0,585.0,42.982923,-71.44609399999999,223.0
223,3.0,4.0,1.0,4.0,4.0,40.0,40.0,200.1124683771604,0.0,442.0,42.982923,-71.44609399999999,224.0
224,3.0,4.0,0.0,0.0,1.0,35.0,32.0,128.5496013218244,0.0,403.0,42.982923,-71.44609399999999,225.0
225,3.0,4.0,1.0,2.0,1.0,39.0,31.0,114.0570032922135,0.0,295.0,42.982923,-71.44609399999999,226.0
226,3.0,13.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,94.0,42.982923,-71.44609399999999,227.0
228,4.0,13.0,0.0,4.0,5.0,23.0,47.0,270.64737205448716,0.0,673.0,42.982923,-71.44609399999999,229.0
229,4.0,4.0,0.0,1.0,4.0,31.0,37.931486137766,226.45087767549057,0.0,652.0,42.982923,-71.44609399999999,230.0
230,4.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,612.0,42.982923,-71.44609399999999,231.0
231,4.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,608.0,42.982923,-71.44609399999999,232.0
232,4.0,4.0,1.0,0.0,1.0,23.0,28.0,80.00624975587844,0.0,140.0,42.982923,-71.44609399999999,233.0
233,4.0,13.0,0.0,1.0,4.0,3.0,38.0,180.8009955724802,0.0,97.0,42.982923,-71.44609399999999,234.0
234,4.0,4.0,0.0,2.0,4.0,40.0,41.0,210.0119044244873,0.0,31.0,42.982923,-71.44609399999999,235.0
235,1.0,4.0,1.0,1.0,4.0,11.0,38.0,181.463494951464,0.0,605.0,42.982923,-71.44609399999999,236.0
236,1.0,13.0,0.0,0.0,4.0,23.0,38.0,181.463494951464,0.0,480.0,42.982923,-71.44609399999999,237.0
237,1.0,13.0,0.0,0.0,5.0,23.0,45.0,255.61404069214808,0.0,298.0,42.982923,-71.44609399999999,238.0
238,1.0,4.0,1.0,0.0,0.0,34.0,20.0,2.3286893159166806,0.0,156.0,42.982923,-71.44609399999999,239.0
239,1.0,4.0,0.0,0.0,0.0,34.0,20.0,0.0,0.0,140.0,42.982923,-71.44609399999999,240.0
240,1.0,4.0,1.0,0.0,0.0,4.0,20.0,0.0,0.0,128.0,42.982923,-71.44609399999999,241.0
241,1.0,4.0,1.0,4.0,5.0,45.0,46.0,266.9082239272518,0.0,103.0,42.982923,-71.44609399999999,242.0
242,2.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,617.0,42.982923,-71.44609399999999,243.0
243,2.0,4.0,1.0,1.0,4.0,23.0,38.0,182.2361105818493,0.0,556.0,42.982923,-71.44609399999999,244.0
244,2.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,214.0,42.982923,-71.44609399999999,245.0
245,2.0,4.0,1.0,4.0,4.0,53.0,38.0,184.69414230680331,0.0,150.0,42.982923,-71.44609399999999,246.0
246,3.0,4.0,1.0,0.0,0.0,1.0,20.0,0.0,0.0,592.0,42.982923,-71.44609399999999,247.0
247,3.0,4.0,1.0,0.0,0.0,34.0,19.770151599444688,0.0,0.0,552.0,42.982923,-71.44609399999999,248.0
248,3.0,4.0,1.0,4.0,5.0,48.0,46.0,262.52809373474685,0.0,391.0,42.982923,-71.44609399999999,249.0
250,3.0,4.0,0.0,5.0,4.0,23.0,36.0,163.1502375113196,0.0,320.0,42.982923,-71.44609399999999,251.0
251,3.0,4.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,126.0,42.982923,-71.44609399999999,252.0
252,3.0,4.0,1.0,0.0,0.0,34.0,20.0,0.0,0.0,120.0,42.982923,-71.44609399999999,253.0
253,3.0,4.0,1.0,0.0,0.0,33.0,37.0,174.56272825175407,0.0,86.0,42.982923,-71.44609399999999,254.0
254,1.0,4.0,0.0,0.0,4.0,8.0,27.0,75.47184905645283,0.0,633.0,42.982923,-71.44609399999999,255.0
255,1.0,4.0,1.0,0.0,4.0,39.0,30.0,105.01904589168578,0.0,453.0,42.982923,-71.44609399999999,256.0
257,1.0,4.0,1.0,0.0,0.0,34.0,20.0,0.0,0.0,352.0,42.982923,-71.44609399999999,258.0
258,1.0,4.0,1.0,5.0,1.0,24.0,31.0,114.54693361238442,0.0,236.0,42.982923,-71.44609399999999,259.0
260,1.0,13.0,1.0,2.0,4.0,54.0,33.0,132.015150645674,0.0,64.0,42.982923,-71.44609399999999,261.0
262,3.0,13.0,1.0,0.0,0.0,52.0,20.0,0.0,0.0,585.0,42.982923,-71.44609399999999,263.0
264,3.0,4.0,0.0,1.0,4.0,23.0,40.0,202.82997806044352,0.0,384.0,42.982923,-71.44609399999999,265.0
265,3.0,4.0,1.0,0.0,0.0,33.0,20.0,0.0,0.0,358.0,42.982923,-71.44609399999999,266.0
267,3.0,4.0,0.0,5.0,6.0,11.0,43.0,236.1228493814184,0.0,162.0,42.982923,-71.44609399999999,268.0
268,3.0,4.0,1.0,0.0,4.0,23.0,37.0,177.22584461641028,0.0,21.0,42.982923,-71.44609399999999,269.0
269,4.0,4.0,1.0,4.0,5.0,39.0,45.0,251.1911622649173,0.0,698.0,42.982923,-71.44609399999999,270.0
270,4.0,13.0,0.0,5.0,4.0,23.0,34.0,140.8900280360537,0.0,590.0,42.982923,-71.44609399999999,271.0
271,4.0,13.0,1.0,0.0,1.0,7.0,29.0,93.30058949438637,0.0,576.0,42.982923,-71.44609399999999,272.0
272,4.0,4.0,1.0,1.0,4.0,23.0,42.0,228.96506283710625,0.0,450.0,42.982923,-71.44609399999999,273.0
273,4.0,4.0,1.0,0.0,4.0,39.0,38.0,186.80738743422333,0.0,324.0,42.982923,-71.44609399999999,274.0
274,1.0,4.0,0.0,0.0,1.0,23.0,31.0,110.0,0.0,625.0,34.189593,-118.471724,275.0
275,1.0,4.0,1.0,0.0,0.0,34.0,19.770151599444688,0.0,0.0,434.0,34.189593,-118.471724,276.0
276,1.0,13.0,0.0,5.0,4.0,23.0,35.0,154.29990014165554,0.0,377.0,34.189593,-118.471724,277.0
277,1.0,4.0,1.0,1.0,5.0,23.0,46.0,261.5530538915575,0.0,344.0,34.189593,-118.471724,278.0
279,2.0,4.0,1.0,4.0,4.0,23.0,36.0,160.65490966665163,0.0,438.0,34.189593,-118.471724,280.0
280,2.0,4.0,1.0,0.0,1.0,39.0,27.0,70.25667228100119,0.0,395.0,34.189593,-118.471724,281.0
282,2.0,4.0,1.0,0.0,4.0,34.0,20.0,2.3286893159166806,0.0,128.0,34.189593,-118.471724,283.0
